order_count_180d,revenue_180d,payment_value_180d,freight_value_180d,item_count_180d,avg_payment_type_count_180d,avg_installments_180d,avg_review_score_180d,review_count_180d,avg_delivery_delay_180d,late_delivery_rate_180d,unique_products_180d,unique_categories_180d,unique_sellers_180d,recency_days,customer_lifetime_days,avg_order_value_180d,orders_per_month_180d,revenue_per_month_180d
0.7443596,-0.059907675,0.3921108,0.01840231,0.21986386,0.0019352428,0.010973839,0.10330085,0.01658279,0.045712728,0.0,0.018254898,0.0003105728,0.002988459,-0.0048067733,0.030634033,0.22891237,0.005039987,-0.022563698
0.7395532,0.025030373,0.28816813,0.014309886,0.21025209,0.0019352428,0.02343839,0.019679131,0.012234115,-0.025034614,0.0,0.013157937,0.0003105728,0.0023106756,0.11093844,0.061001927,-0.020722073,0.003728806,0.009284929
0.7411241,0.014828704,0.26487017,0.011138393,0.20706764,0.0019352428,0.031903833,0.14609888,0.010787138,0.01242715,0.0,0.015643349,0.0003105728,0.0023106756,0.10112828,0.05231482,-0.03528402,0.003728806,0.0057303715
0.73731464,0.00019169333,0.35262924,0.014105212,0.21019028,0.0019352428,0.032039106,0.0073522176,0.010787138,-0.010314637,0.0,0.018592779,0.0003105728,0.0023106756,-0.030221455,0.042399716,-0.02823596,0.003728806,0.00562612
0.73914176,0.0061506396,0.2679824,-0.0038954492,0.21155885,0.0019352428,0.04129117,0.017130524,0.010787138,0.009006194,0.0,0.015312428,0.0003105728,0.0023106756,0.12328931,0.03412349,-0.0061880527,0.003728806,0.0075366204
0.739844,0.010260191,0.2661007,0.07539121,0.21160911,0.0012677184,0.03766355,0.017307797,0.010787138,0.0019590047,0.0,0.015312428,0.0003105728,0.0023106756,0.13889854,0.046018247,-0.034657087,0.003728806,0.007432369
0.7391534,-0.06474036,0.33830932,-0.10663299,0.22294562,0.0019352428,0.011672861,-0.00020838075,0.01658279,-0.034147643,0.0,0.01824333,0.0003892899,0.002483165,-0.024168013,0.037577517,0.26886618,0.005001896,-0.022667948
0.74058217,-0.112260945,0.27372622,0.007077316,0.21529931,0.0019352428,0.018051213,0.028134465,0.016169172,0.33073404,0.0,0.013361704,0.0010086538,0.002988459,0.11605099,0.05117916,-0.051673647,0.004402526,-0.032760512
0.7402238,0.010260191,0.26671636,0.09739513,0.21162143,0.0012677184,0.037557334,0.017307797,0.010787138,0.006093142,0.0,0.015312428,0.0003105728,0.0023106756,0.14066605,0.054035578,-0.034657087,0.003728806,0.007566862
0.7433476,0.022674931,0.27381173,0.003767847,0.20705734,0.0019352428,0.023823546,0.16894644,0.012234115,0.010903762,0.0,0.013169506,0.0003105728,0.0023106756,0.11691071,0.036461554,-0.023594653,0.003728806,0.011091178
